transaction_id,hour_of_day,distance_from_home_km,distance_from_last_txn_km,card_present,amount,merchant_category,is_fraud
TXN100074,14,13.63,0.36,1,128.45,gas_station,0
TXN100075,14,4.55,2.09,1,56.35,entertainment,0
TXN100076,16,9.73,8.3,1,0.85,online_retail,0
TXN100077,14,2.61,0.32,1,144.07,restaurant,0
TXN100078,7,19.54,7.83,1,48.89,pharmacy,0
TXN100079,18,19.73,4.46,0,22.52,entertainment,0
TXN100080,10,13.81,7.99,1,19.63,restaurant,0
TXN100081,17,37.5,2.08,1,16.31,gas_station,0
TXN100082,16,9.5,11.88,0,16.68,restaurant,0
TXN100083,15,6.25,1.38,1,89.54,restaurant,0
TXN100084,9,2.05,5.1,1,80.33,gas_station,0
TXN100085,8,0.96,7.06,1,77.61,online_retail,0
TXN100086,16,2.53,20.84,1,173.04,grocery,0
TXN100087,16,2.27,0.95,1,58.02,grocery,0
TXN100088,16,5.37,4.19,1,37.91,grocery,0
TXN100089,10,1.22,7.23,0,53.03,restaurant,0
TXN100090,20,9.61,9.17,1,67.3,online_retail,0
TXN100091,12,0.56,4.61,0,113.36,grocery,0
TXN100092,11,9.53,14.28,1,68.93,electronics,0
TXN100093,0,5.85,0.75,1,52.36,grocery,0
TXN100094,10,0.66,8.76,1,47.88,gas_station,0
TXN100095,5,8.54,0.22,0,59.63,online_retail,0
TXN100096,16,1.89,1.32,1,55.37,gas_station,0
TXN100097,9,4.03,1.2,1,14.14,travel,0
TXN100098,15,21.38,2.4,0,14.97,gas_station,0
TXN100099,9,37.44,7.07,0,29.01,travel,0
TXN100100,1,5.25,22.72,0,134.18,online_retail,0
TXN100101,8,3.67,5.46,1,83.37,entertainment,0
TXN100102,17,5.65,7.77,1,58.48,entertainment,0
TXN100103,12,2.51,5.77,0,18.0,gas_station,0
TXN100104,18,17.29,6.26,0,46.17,entertainment,0
TXN100105,13,1.84,2.76,1,49.42,online_retail,0
TXN100106,16,14.27,1.58,0,72.74,entertainment,0
TXN100107,16,5.86,0.44,0,97.13,gas_station,0
TXN100108,16,7.6,9.04,1,68.46,travel,0
TXN100109,13,38.03,0.22,1,162.81,gas_station,0
TXN100110,10,11.96,5.33,0,36.46,online_retail,0
TXN100111,12,0.34,0.24,0,11.01,gas_station,0
TXN100112,7,3.05,0.48,1,62.54,grocery,0
TXN100113,16,11.49,13.41,1,237.05,gas_station,0
TXN100114,9,2.37,2.71,1,27.05,online_retail,0
TXN100115,14,5.23,5.92,1,22.18,gas_station,0
TXN100116,14,9.37,1.96,1,65.05,restaurant,0
TXN100117,4,3.67,7.33,0,108.78,gas_station,0
TXN100118,4,12.23,3.44,1,56.73,gas_station,0
TXN100119,18,5.65,5.25,0,201.26,entertainment,0
TXN100120,14,1.22,3.91,1,50.53,electronics,0
TXN100121,9,20.88,2.42,1,48.42,electronics,0
TXN100122,10,23.82,4.87,1,65.76,grocery,0
TXN100123,13,7.2,5.23,1,195.35,travel,0
TXN100124,6,5.99,5.84,0,29.65,gas_station,0
TXN100125,10,1.42,1.31,1,18.28,gas_station,0
TXN100126,8,19.72,10.02,1,65.43,restaurant,0
TXN100127,13,18.92,6.98,1,14.98,restaurant,0
TXN100128,11,6.03,7.84,1,54.87,gas_station,0
TXN100129,15,13.29,5.48,0,86.3,gas_station,0
TXN100130,8,3.25,2.05,0,131.16,gas_station,0
TXN100131,8,6.37,7.38,0,121.55,gas_station,0
TXN100132,7,18.07,2.42,1,32.15,grocery,0
TXN100133,19,12.8,6.34,1,75.8,online_retail,0
TXN100134,15,4.57,6.37,0,121.82,grocery,0
TXN100135,15,6.24,10.06,1,53.45,gas_station,0
TXN100136,13,2.13,1.29,1,152.09,gas_station,0
TXN100137,17,16.9,3.7,0,30.85,grocery,0
TXN100138,14,27.84,1.37,0,39.7,grocery,0
TXN100139,14,8.65,0.46,1,117.48,grocery,0
TXN100140,13,10.02,8.74,1,98.31,electronics,0
TXN100141,17,17.94,8.86,0,24.49,grocery,0
TXN100142,10,4.1,4.51,1,50.94,grocery,0
TXN100143,3,2.63,3.86,1,86.87,restaurant,0
TXN100144,20,0.1,15.04,1,25.04,restaurant,0
TXN100145,20,0.74,9.36,0,47.53,travel,0
TXN100146,8,0.1,2.55,0,103.06,grocery,0
TXN100147,21,4.26,1.32,0,2.05,grocery,0
TXN100148,11,1.52,10.85,1,54.37,gas_station,0
TXN100149,16,3.66,7.15,1,82.09,grocery,0
TXN100150,10,21.43,15.6,0,110.23,gas_station,0
TXN100151,15,5.63,6.07,1,86.67,grocery,0
TXN100152,15,8.16,2.06,0,210.57,grocery,0
TXN100153,11,4.42,5.14,0,272.58,travel,0
TXN100154,14,3.75,4.99,1,123.35,online_retail,0
TXN100155,19,6.22,1.66,1,9.9,gas_station,0
TXN100156,7,1.3,1.93,1,107.63,gas_station,0
TXN100157,7,16.03,7.62,1,143.43,pharmacy,0
TXN100158,21,1.64,1.61,1,50.34,gas_station,0
TXN100159,19,6.69,7.88,1,9.73,online_retail,0
TXN100160,10,10.44,0.77,1,105.9,grocery,0
TXN100161,14,11.41,19.4,1,70.38,entertainment,0
TXN100162,17,3.71,9.0,0,40.28,electronics,0
TXN100163,11,18.28,6.86,1,115.23,online_retail,0
TXN100164,10,1.06,3.8,1,91.07,restaurant,0
TXN100165,13,20.12,14.95,0,78.21,online_retail,0
TXN100166,9,0.03,5.27,1,30.71,electronics,0
TXN100167,3,43.83,121.65,1,62.06,online_retail,1
TXN100168,15,15.64,10.31,1,35.27,gas_station,0
TXN100169,12,3.36,1.54,1,15.83,grocery,0
TXN100170,1,3.43,8.65,1,101.68,gas_station,0
TXN100171,17,0.29,0.89,0,117.69,gas_station,0
TXN100172,21,1.34,1.45,1,121.47,electronics,0
TXN100173,9,8.51,1.67,1,72.79,entertainment,0
TXN100174,15,5.48,1.09,1,68.55,grocery,0
TXN100175,16,11.87,11.07,1,31.19,grocery,0
TXN100176,19,6.73,5.16,1,46.73,electronics,0
TXN100177,12,1.97,22.58,1,64.23,restaurant,0
TXN100178,15,9.02,2.98,1,25.96,entertainment,0
TXN100179,16,13.6,3.1,1,28.45,restaurant,0
TXN100180,17,9.89,1.94,1,13.36,grocery,0
TXN100181,17,10.23,6.66,0,101.12,travel,0
TXN100182,12,12.2,7.67,0,37.57,online_retail,0
TXN100183,14,3.23,6.72,1,81.18,electronics,0
TXN100184,17,4.14,6.18,1,36.33,electronics,0
TXN100185,7,7.4,0.29,1,74.69,restaurant,0
TXN100186,17,6.1,6.49,1,31.54,grocery,0
TXN100187,21,4.27,0.19,0,63.84,gas_station,0
TXN100188,9,12.95,3.14,1,36.45,gas_station,0
TXN100189,13,2.02,2.45,0,95.96,electronics,0
TXN100190,9,23.49,1.13,0,32.62,grocery,0
TXN100191,14,4.13,3.94,1,27.91,gas_station,0
TXN100192,12,1.24,0.45,1,141.14,travel,0
TXN100193,15,3.43,0.77,0,115.02,restaurant,0
TXN100194,15,7.35,0.17,1,44.13,gas_station,0
TXN100195,14,4.18,3.11,0,18.31,entertainment,0
TXN100196,12,13.94,1.35,1,260.29,restaurant,0
TXN100197,15,2.61,10.2,0,10.49,gas_station,0
TXN100198,10,2.62,12.09,1,23.29,entertainment,0
TXN100199,10,8.73,1.12,1,48.61,online_retail,0
TXN100200,13,9.18,2.59,1,59.48,online_retail,0
TXN100201,12,2.4,2.46,0,36.47,electronics,0
TXN100202,9,5.43,9.44,1,36.0,restaurant,0
TXN100203,23,0.24,4.26,0,131.24,grocery,0
TXN100204,15,2.91,1.53,1,27.91,restaurant,0
TXN100205,10,3.29,3.38,1,93.5,restaurant,0
TXN100206,19,13.21,7.33,0,31.52,grocery,0
TXN100207,12,6.7,0.81,1,85.47,pharmacy,0
TXN100208,14,4.48,0.67,0,47.01,electronics,0
TXN100209,8,2.66,13.21,0,10.28,grocery,0
TXN100210,8,3.78,4.95,1,44.33,electronics,0
TXN100211,10,9.33,2.58,1,139.65,online_retail,0
TXN100212,22,4.0,5.1,1,109.69,gas_station,0
TXN100213,18,0.53,8.34,0,94.66,restaurant,0
TXN100214,8,9.91,5.66,1,77.32,electronics,0
TXN100215,16,4.29,2.03,1,18.15,grocery,0
TXN100216,11,25.58,1.16,1,16.09,grocery,0
TXN100217,14,1.55,6.39,1,90.21,online_retail,0
TXN100218,8,110.46,13.55,0,16.61,grocery,1
TXN100219,15,25.02,0.25,0,46.4,online_retail,0
TXN100220,18,2.7,7.6,1,93.44,online_retail,0
TXN100221,19,7.8,1.69,1,37.03,gas_station,0
TXN100222,16,1.86,8.1,1,131.09,electronics,0
TXN100223,12,30.86,5.54,0,32.15,restaurant,0
TXN100224,0,185.68,40.97,0,98.07,online_retail,1
TXN100225,10,5.31,0.29,1,71.36,gas_station,0
TXN100226,15,1.48,11.85,1,112.16,entertainment,0
TXN100227,15,31.22,5.79,1,98.34,gas_station,0
TXN100228,17,10.72,0.25,0,77.53,restaurant,0
TXN100229,22,2.85,1.2,1,126.96,online_retail,0
TXN100230,4,3.26,8.51,1,42.07,gas_station,0
TXN100231,17,10.38,1.33,1,64.59,travel,0
TXN100232,7,6.05,17.35,0,110.08,grocery,0
TXN100233,17,3.04,0.66,0,33.81,online_retail,0
TXN100234,8,1.63,3.13,1,66.29,gas_station,0
TXN100235,15,5.28,3.61,0,208.51,grocery,0
TXN100236,15,13.46,6.24,1,64.01,restaurant,0
TXN100237,13,22.67,2.49,0,102.66,restaurant,0
TXN100238,12,6.75,6.15,1,190.93,grocery,0
TXN100239,12,6.63,2.7,1,20.5,grocery,0
TXN100240,14,8.26,7.3,1,40.59,gas_station,0
TXN100241,18,4.28,1.74,0,0.86,restaurant,0
TXN100242,15,4.01,0.01,1,202.51,online_retail,0
TXN100243,9,0.99,9.11,0,88.41,restaurant,0
TXN100244,8,2.7,0.02,1,67.05,electronics,0
TXN100245,13,21.53,1.94,1,76.47,online_retail,0
TXN100246,2,22.42,4.53,1,82.31,restaurant,0
TXN100247,9,4.89,3.09,0,37.05,gas_station,0
TXN100248,15,2.02,1.49,1,29.65,travel,0
TXN100249,20,8.29,1.37,1,26.52,grocery,0
TXN100250,5,0.4,0.66,1,120.81,electronics,0
TXN100251,4,10.11,6.67,1,62.42,online_retail,0
TXN100252,10,8.76,0.41,1,84.54,gas_station,0
TXN100253,18,5.68,1.45,0,56.47,gas_station,0
TXN100254,16,5.76,7.51,1,94.81,grocery,0
TXN100255,15,16.9,5.94,1,130.55,gas_station,0
TXN100256,23,12.91,0.65,1,47.15,online_retail,0
TXN100257,18,6.44,1.83,1,186.22,pharmacy,0
TXN100258,15,4.3,0.99,1,85.07,online_retail,0
TXN100259,22,5.2,6.39,0,10.07,grocery,0
TXN100260,15,2.92,0.99,1,121.93,gas_station,0
TXN100261,12,19.04,17.42,1,40.06,travel,0
TXN100262,7,10.32,20.72,1,158.23,restaurant,0
TXN100263,16,12.51,0.39,1,18.63,gas_station,0
TXN100264,9,0.8,0.89,1,50.78,online_retail,0
TXN100265,10,4.84,4.52,0,133.7,entertainment,0
TXN100266,17,4.34,1.36,1,43.72,restaurant,0
TXN100267,13,1.74,0.2,1,33.42,gas_station,0
TXN100268,18,1.32,3.07,0,72.36,restaurant,0
TXN100269,5,11.02,7.72,1,48.33,restaurant,0
TXN100270,13,4.5,4.02,1,131.5,gas_station,0
TXN100271,8,13.29,5.54,1,32.67,gas_station,0
TXN100272,23,11.2,6.78,1,21.51,restaurant,0
TXN100273,15,8.72,6.21,1,65.7,gas_station,0
TXN100274,8,16.41,4.02,1,51.25,gas_station,0
TXN100275,15,0.45,17.85,1,135.99,gas_station,0
TXN100276,13,0.35,0.18,1,16.85,electronics,0
TXN100277,16,4.24,0.72,1,36.38,grocery,0
TXN100278,11,6.31,0.67,1,88.64,entertainment,0
TXN100279,13,0.84,4.18,1,78.04,online_retail,0
TXN100280,10,5.46,4.03,0,14.14,entertainment,0
TXN100281,23,3.26,5.4,1,42.5,entertainment,0
TXN100282,6,4.48,5.28,1,70.76,entertainment,0
TXN100283,16,2.32,4.23,1,24.47,entertainment,0
TXN100284,9,2.99,1.63,0,49.55,electronics,0
TXN100285,10,6.87,3.01,1,63.66,travel,0
TXN100286,16,3.83,0.51,1,55.66,gas_station,0
TXN100287,9,4.81,1.07,0,57.23,online_retail,0
TXN100288,10,0.41,1.32,1,78.6,grocery,0
TXN100289,7,7.55,7.7,1,49.36,grocery,0
TXN100290,19,7.34,4.21,1,79.53,gas_station,0
TXN100291,13,0.93,2.53,1,122.64,grocery,0
TXN100292,17,29.12,0.55,1,60.17,restaurant,0
TXN100293,7,10.86,3.09,0,85.2,grocery,0
TXN100294,16,15.64,5.85,1,40.69,restaurant,0
TXN100295,4,278.08,69.81,0,79.03,online_retail,1
TXN100296,12,10.76,0.6,1,39.22,electronics,0
TXN100297,23,23.95,0.28,0,119.89,gas_station,0
TXN100298,16,10.11,1.44,1,131.62,online_retail,0
TXN100299,6,10.04,5.85,0,191.15,electronics,0
TXN100300,11,1.41,2.37,0,23.89,online_retail,0
TXN100301,10,1.58,5.62,1,39.79,entertainment,0
TXN100302,11,17.16,8.94,1,91.17,restaurant,0
TXN100303,20,32.54,0.43,1,79.4,gas_station,0
TXN100304,19,5.32,4.38,1,77.0,electronics,0
TXN100305,17,16.23,0.88,0,122.17,electronics,0
TXN100306,16,5.29,3.53,1,81.23,online_retail,0
TXN100307,18,1.61,0.66,1,36.99,electronics,0
TXN100308,5,16.54,5.11,1,59.91,travel,0
TXN100309,21,9.46,2.97,0,4.47,gas_station,0
TXN100310,17,8.58,2.54,0,50.92,gas_station,0
TXN100311,4,4.16,17.31,1,60.1,grocery,0
TXN100312,9,6.86,0.61,1,14.05,grocery,0
TXN100313,6,7.66,0.39,1,94.07,restaurant,0
TXN100314,9,13.89,1.17,0,31.75,travel,0
TXN100315,20,7.53,5.95,0,224.22,grocery,0
TXN100316,6,16.72,1.63,0,90.63,gas_station,0
TXN100317,15,3.05,0.84,1,79.97,grocery,0
TXN100318,14,6.36,0.4,0,51.93,gas_station,0
TXN100319,13,0.92,15.41,1,102.31,entertainment,0
TXN100320,15,0.16,0.08,1,93.43,online_retail,0
TXN100321,12,6.92,8.16,0,50.62,online_retail,0
TXN100322,17,3.83,4.06,1,43.44,gas_station,0
TXN100323,11,0.8,4.43,0,19.96,grocery,0
TXN100324,13,14.3,2.42,1,217.88,restaurant,0
TXN100325,12,13.82,0.81,1,23.47,entertainment,0
TXN100326,7,9.31,8.68,0,164.39,entertainment,1
TXN100327,15,19.56,10.73,1,81.15,online_retail,0
TXN100328,15,14.25,24.01,1,69.32,gas_station,0
TXN100329,19,4.89,0.97,1,101.61,restaurant,0
TXN100330,20,7.87,1.32,1,86.28,online_retail,0
TXN100331,21,20.05,0.73,1,7.67,travel,0
TXN100332,20,1.98,6.63,0,10.42,grocery,0
TXN100333,19,6.85,1.16,1,108.81,gas_station,0
TXN100334,10,4.12,6.95,0,113.95,grocery,0
TXN100335,16,0.28,5.72,0,85.55,travel,0
TXN100336,14,1.34,9.86,1,119.89,gas_station,0
TXN100337,13,9.34,3.85,1,69.69,gas_station,0
TXN100338,9,4.86,4.2,1,8.88,travel,0
TXN100339,19,12.65,11.85,1,46.49,electronics,0
TXN100340,17,5.17,0.54,1,146.69,gas_station,0
TXN100341,21,9.18,8.82,1,90.43,grocery,0
TXN100342,9,11.1,7.57,1,9.55,grocery,0
TXN100343,17,19.4,2.21,1,110.94,restaurant,0
TXN100344,3,3.77,0.59,0,40.99,entertainment,0
TXN100345,21,2.56,3.59,1,19.66,grocery,0
TXN100346,14,2.81,4.33,1,126.17,restaurant,0
TXN100347,10,5.16,3.74,1,22.8,electronics,0
TXN100348,2,1.8,3.14,1,101.0,grocery,0
TXN100349,12,1.25,4.48,1,119.77,grocery,0
TXN100350,11,0.45,2.78,1,67.87,gas_station,0
TXN100351,11,15.62,2.1,1,42.94,electronics,0
TXN100352,1,101.43,26.73,0,76.18,gas_station,1
TXN100353,10,8.43,1.13,1,13.29,gas_station,0
TXN100354,17,7.19,0.91,1,20.16,pharmacy,0
TXN100355,18,1.23,1.96,1,96.48,online_retail,0
TXN100356,12,4.43,2.22,1,52.97,gas_station,0
TXN100357,18,5.37,7.84,0,146.25,online_retail,0
TXN100358,22,3.11,9.3,1,40.2,grocery,0
TXN100359,18,12.27,14.63,1,72.46,gas_station,0
TXN100360,6,7.72,4.81,1,112.01,restaurant,0
TXN100361,16,1.58,9.36,1,161.61,grocery,0
TXN100362,12,4.44,8.08,1,27.47,online_retail,0
TXN100363,8,2.77,4.46,1,78.09,gas_station,0
TXN100364,2,34.21,46.64,0,76.24,travel,1
TXN100365,18,0.33,2.43,1,88.97,electronics,0
TXN100366,13,3.78,2.03,1,114.59,electronics,0
TXN100367,9,52.92,3.96,1,88.97,online_retail,0
TXN100368,13,4.69,1.44,0,81.23,electronics,0
TXN100369,5,7.13,1.03,0,79.68,gas_station,0
TXN100370,13,7.11,0.45,0,2.98,grocery,0
TXN100371,9,3.1,17.33,1,69.05,gas_station,0
TXN100372,16,6.91,0.99,1,49.68,online_retail,0
TXN100373,16,8.42,0.78,0,74.1,gas_station,0
TXN100374,20,3.33,5.4,1,24.69,grocery,0
TXN100375,14,14.35,1.32,1,82.95,pharmacy,0
TXN100376,4,1.09,2.57,1,41.31,entertainment,0
TXN100377,15,0.57,3.1,1,30.71,pharmacy,0
TXN100378,9,6.15,8.59,1,41.47,grocery,0
TXN100379,18,31.29,0.61,1,184.47,gas_station,0
TXN100380,17,4.41,4.48,1,41.4,online_retail,0
TXN100381,18,0.43,3.89,1,37.34,grocery,0
TXN100382,15,2.93,0.18,1,219.34,gas_station,0
TXN100383,0,175.21,33.88,1,227.12,electronics,1
TXN100384,12,5.58,5.89,1,40.43,gas_station,0
TXN100385,12,1.81,1.87,1,88.77,grocery,0
TXN100386,9,5.21,6.13,0,18.0,grocery,0
TXN100387,13,0.45,1.72,1,64.87,electronics,0
TXN100388,8,4.39,9.82,1,216.35,gas_station,0
TXN100389,7,10.4,6.16,0,30.27,electronics,0
TXN100390,21,1.31,6.69,1,81.81,restaurant,0
TXN100391,16,2.62,5.35,1,18.47,restaurant,0
TXN100392,0,13.52,45.25,0,87.01,grocery,1
TXN100393,18,1.2,0.57,1,147.49,restaurant,0
TXN100394,8,0.47,6.56,0,50.91,gas_station,0
TXN100395,15,3.0,18.58,0,171.79,online_retail,0
TXN100396,21,1.51,7.89,0,25.48,online_retail,0
TXN100397,6,4.07,4.5,0,18.15,restaurant,0
TXN100398,6,11.75,3.52,1,161.12,online_retail,0
TXN100399,6,5.9,10.02,1,29.53,gas_station,0
TXN100400,10,29.62,22.24,0,25.31,gas_station,0
TXN100401,17,4.73,0.58,1,61.25,travel,0
TXN100402,17,2.59,0.28,1,34.9,gas_station,0
TXN100403,8,5.51,3.51,1,66.1,online_retail,0
TXN100404,19,3.08,0.1,1,155.54,grocery,0
TXN100405,10,21.75,7.27,1,61.46,restaurant,0
TXN100406,6,8.38,6.14,1,28.83,entertainment,0
TXN100407,12,15.65,2.95,1,81.44,online_retail,0
TXN100408,3,1.21,9.73,1,89.46,gas_station,0
TXN100409,15,3.09,2.63,1,69.43,gas_station,0
TXN100410,11,8.48,3.88,1,15.31,gas_station,0
TXN100411,16,0.85,0.43,1,15.61,electronics,0
TXN100412,16,32.39,0.28,1,88.4,grocery,0
TXN100413,6,12.5,19.19,0,95.07,online_retail,1
TXN100414,10,9.53,18.86,1,37.45,gas_station,0
TXN100415,3,1.75,1.02,1,5.56,electronics,0
TXN100416,9,1.18,0.47,0,135.51,gas_station,0
TXN100417,15,1.65,7.57,1,56.41,gas_station,0
TXN100418,12,0.39,21.79,1,26.94,grocery,0
TXN100419,15,3.77,3.62,1,10.37,travel,0
TXN100420,14,1.49,2.36,1,77.97,entertainment,0
TXN100421,19,3.79,0.99,1,76.49,grocery,0
TXN100422,19,1.41,4.27,1,53.66,grocery,0
TXN100423,14,6.37,15.43,0,43.66,entertainment,0
TXN100424,19,8.55,1.24,0,29.75,online_retail,0
TXN100425,4,5.76,4.75,0,103.27,grocery,0
TXN100426,12,10.97,8.4,0,26.87,online_retail,0
TXN100427,14,2.89,6.27,1,52.93,entertainment,0
TXN100428,11,5.69,4.19,0,27.18,grocery,0
TXN100429,11,9.49,0.14,1,53.34,pharmacy,0
TXN100430,14,2.0,1.4,1,209.65,grocery,0
TXN100431,9,2.75,3.16,1,112.21,electronics,0
TXN100432,3,5.24,11.14,0,119.3,online_retail,1
TXN100433,20,1.63,7.72,1,117.49,gas_station,0
TXN100434,10,36.65,5.85,1,75.02,grocery,0
TXN100435,21,9.47,0.87,0,12.2,restaurant,0
TXN100436,10,1.98,0.01,0,107.24,online_retail,0
TXN100437,22,2.69,1.66,1,26.55,grocery,0
TXN100438,20,3.42,3.27,1,19.01,gas_station,0
TXN100439,14,3.06,0.47,0,82.49,entertainment,0
TXN100440,15,2.23,7.44,1,236.14,electronics,0
TXN100441,4,17.25,7.75,1,30.15,online_retail,0
TXN100442,11,3.91,3.81,1,47.63,pharmacy,0
TXN100443,16,4.25,14.1,0,107.17,entertainment,0
TXN100444,11,15.07,2.63,0,7.54,restaurant,0
TXN100445,3,14.7,4.23,1,13.09,travel,0
TXN100446,15,0.65,1.81,1,110.86,electronics,0
TXN100447,11,3.96,9.09,0,20.98,grocery,0
TXN100448,15,6.26,5.53,1,116.43,grocery,0
TXN100449,9,13.45,5.45,1,82.05,grocery,0
TXN100450,9,1.24,5.18,0,84.36,gas_station,0
TXN100451,10,36.27,6.82,1,44.65,electronics,0
TXN100452,16,16.69,4.58,1,100.01,grocery,0
TXN100453,2,0.01,28.63,1,193.73,travel,1
TXN100454,21,14.48,1.21,1,125.16,grocery,0
TXN100455,16,10.64,3.5,1,37.38,grocery,0
TXN100456,14,7.42,5.92,0,32.59,pharmacy,0
TXN100457,19,25.44,3.46,1,12.63,grocery,0
TXN100458,12,17.07,9.97,1,84.08,restaurant,0
TXN100459,2,50.65,16.66,1,88.02,restaurant,1
TXN100460,10,20.13,3.86,1,109.94,pharmacy,0
TXN100461,8,1.38,6.67,1,15.34,electronics,0
TXN100462,23,0.3,2.76,1,110.63,grocery,0
TXN100463,14,10.91,9.09,1,59.24,restaurant,0
TXN100464,9,13.33,4.71,1,59.27,restaurant,0
TXN100465,12,8.36,0.81,0,74.28,restaurant,0
TXN100466,10,1.66,3.75,1,41.14,entertainment,0
TXN100467,18,5.12,2.6,1,67.84,travel,0
TXN100468,15,6.9,9.66,1,124.39,restaurant,0
TXN100469,8,1.4,0.57,0,148.54,entertainment,0
TXN100470,3,0.69,11.42,0,150.76,electronics,1
TXN100471,19,2.0,0.78,0,144.35,gas_station,0
TXN100472,13,2.39,11.1,1,45.27,grocery,0
TXN100473,10,6.81,1.69,1,172.24,pharmacy,0
TXN100474,18,10.14,1.15,1,48.77,gas_station,0
TXN100475,15,3.65,9.62,1,8.85,online_retail,0
TXN100476,18,0.56,5.89,1,68.81,grocery,0
TXN100477,17,22.91,6.37,1,34.37,online_retail,0
TXN100478,10,5.79,1.84,1,36.19,grocery,0
TXN100479,8,2.27,8.67,1,108.39,online_retail,0
TXN100480,17,7.47,5.53,1,65.52,online_retail,0
TXN100481,14,0.01,3.32,0,248.68,gas_station,0
TXN100482,13,11.03,2.06,0,15.87,restaurant,0
TXN100483,20,3.72,5.88,1,88.58,electronics,0
TXN100484,7,18.91,4.4,1,21.69,pharmacy,0
